Longitude,Latitude
"[74.07168426666405,","22.626567783684017],"
"[74.074727723962,","22.628343133727427],"
"[74.08117356445302,","22.642701533036373],"
"[74.0811922146701,","22.6427376301335],"
"[74.08121471035189,","22.642771464662],"
"[74.0874702659519,","22.651143686862],"
"[74.08749464419603,","22.651173028414686],"
"[74.08752191399665,","22.651199703936697],"
"[74.08755178548009,","22.651223429871422],"
"[74.08758394111713,","22.651243954015904],"
"[74.08761803909844,","22.651261058201705],"
"[74.08765371696781,","22.65127456061402],"
"[74.09853705026781,","22.65476344951402],"
"[74.09857599821676,","22.65477363521792],"
"[74.09861582223616,","22.654779529178356],"
"[74.10649035575221,","22.655510041503124],"
"[74.109577257938,","22.65580429652212],"
"[74.11723204481616,","22.65659779749968],"
"[74.1209661673012,","22.657141144166612],"
"[74.12100330610288,","22.65714464788024],"
"[74.12104060894775,","22.657144394182303],"
"[74.12107769665839,","22.657140385651598],"
"[74.12726914170344,","22.656153303496243],"
"[74.13501049656351,","22.655407182253146],"
"[74.13501932887013,","22.65540622383064],"
"[74.13871935930935,","22.654959715330843],"
"[74.14183295132756,","22.6558636614038],"
"[74.1418641915292,","22.65587127623675],"
"[74.1454808582292,","22.65658794293675],"
"[74.1455109611446,","22.656592629388555],"
"[74.14554134756663,","22.656594823403484],"
"[74.14829657559969,","22.656679979992063],"
"[74.15231327167848,","22.6574838642773],"
"[74.15338096993712,","22.658009705653583],"
"[74.15341464950995,","22.658024264865443],"
"[74.15344960549493,","22.65803541669901],"
"[74.15706349439493,","22.658993749999013],"
"[74.15708856558562,","22.65899947381965],"
"[74.16093482375416,","22.65973797732265],"
"[74.17183210789797,","22.664846165468834],"
"[74.18117445177707,","22.67246726003532],"
"[74.18120965894282,","22.672492690986967],"
"[74.18124760354489,","22.672513821178516],"
"[74.19120560621397,","22.67731643937119],"
"[74.20094138690004,","22.682035723707635],"
"[74.20097474459202,","22.682049919698443],"
"[74.20100933142315,","22.682060783071826],"
"[74.20104481535436,","22.682068209537672],"
"[74.20108085573426,","22.682072127800726],"
"[74.20111710656948,","22.68207250024504],"
"[74.20115321984625,","22.682069323295092],"
"[74.20535347077276,","22.681491307047995],"
"[74.20989235106002,","22.681824562308513],"
"[74.2099252169912,","22.681825510566437],"
"[74.21597799479119,","22.681731066066437],"
"[74.21600792739031,","22.681729384285806],"
"[74.21603762557432,","22.6817252846831],"
"[74.22124756488442,","22.680789611073937],"
"[74.22531775168223,","22.68295713417645],"
"[74.22534777196137,","22.68297142845635],"
"[74.22537895427052,","22.68298296999846],"
